PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,6.0,3.0,2.0,4.0,5,8,6,1.0,54.0,0.0,2,2.0
2,6.0,4.0,2.0,4.0,5,8,6,1.0,56.0,0.0,3,5.0
2,6.0,2.0,6.0,1.0,5,8,6,1.0,76.0,0.0,2,2.0
1,6.0,2.0,2.0,3.0,5,8,6,1.0,85.0,0.0,2,4.0
1,6.0,3.0,2.0,6.0,5,8,6,1.0,37.0,0.5,2,4.0
5,6.0,2.0,2.0,3.0,5,8,6,3.0,51.0,0.3,2,10.0
2,6.0,4.0,2.0,1.0,5,8,6,1.0,51.0,0.25,3,4.0
2,6.0,5.0,2.0,3.0,5,8,6,1.0,58.0,0.0,2,3.0
2,6.0,6.0,2.0,3.0,5,8,6,1.0,63.0,0.0,3,4.0
2,6.0,6.0,2.0,3.0,5,8,6,1.0,54.0,0.25,3,4.0
3,6.0,4.0,2.0,6.0,5,8,6,2.0,44.0,0.0,3,4.0
2,6.0,6.0,2.0,6.0,5,8,6,2.0,33.0,0.25,3,4.0
3,5.0,2.0,2.0,6.0,6,8,6,3.0,40.0,0.25,3,2.0
1,5.0,2.0,1.0,5.0,6,8,6,1.0,35.0,0.4,3,5.0
6,5.0,5.0,2.0,1.0,6,8,6,4.0,73.0,0.0,2,6.0
1,5.0,1.0,6.0,8.0,6,8,6,1.0,47.0,0.0,3,0.5
3,2.0,5.0,6.0,10.0,6,8,6,3.0,48.0,0.4,3,5.0
2,5.0,3.0,1.0,6.0,6,8,6,2.0,28.0,0.25,3,4.0
2,3.0,3.0,1.0,10.0,6,8,6,1.0,40.0,0.0,3,2.0
2,5.0,3.0,6.0,10.0,6,8,6,2.0,42.0,0.5,3,4.0
1,6.0,3.0,2.0,8.0,6,8,6,1.0,60.0,0.0,3,0.5
1,5.0,5.0,2.0,8.0,6,8,6,1.0,65.0,0.0,3,1.0
2,4.0,5.0,6.0,7.0,6,8,6,2.0,42.0,0.5,3,6.0
2,5.0,3.0,2.0,10.0,6,8,6,0.0,46.0,0.3333333333333333,3,3.0
3,5.0,3.0,2.0,5.0,6,8,6,3.0,73.0,0.0,3,3.0
1,6.0,1.0,2.0,1.0,6,8,6,2.0,63.0,0.0,2,2.0
2,5.0,2.0,6.0,6.0,6,8,6,1.0,52.0,0.0,3,3.0
3,5.0,3.0,1.0,9.0,6,8,6,2.0,44.0,0.2,3,5.0
1,5.0,1.0,6.0,5.0,6,8,6,1.0,31.0,0.0,3,0.5
2,3.0,3.0,2.0,7.0,6,8,6,2.0,68.0,0.0,3,2.0
2,2.0,3.0,2.0,6.0,6,8,6,1.0,74.0,0.0,3,2.0
1,4.0,4.0,6.0,10.0,6,8,6,1.0,72.0,0.0,3,1.0
2,5.0,4.0,6.0,5.0,6,8,6,2.0,29.0,0.5,2,4.0
3,5.0,6.0,2.0,5.0,6,8,6,2.0,56.0,0.0,3,3.0
2,5.0,3.0,2.0,4.0,6,8,6,1.0,65.0,0.0,3,2.0
1,4.0,2.0,2.0,5.0,6,8,6,1.0,38.0,0.3333333333333333,2,3.0
1,6.0,3.0,2.0,1.0,6,8,6,2.0,86.0,0.0,3,2.0
2,6.0,2.0,2.0,3.0,6,8,6,2.0,63.0,0.0,2,2.0
3,6.0,3.0,2.0,3.0,6,8,6,4.0,49.0,0.0,3,6.0
3,6.0,2.0,2.0,4.0,6,8,6,3.0,74.0,0.0,2,3.0
2,6.0,2.0,2.0,3.0,6,8,6,2.0,78.0,0.0,3,2.0
2,6.0,4.0,2.0,5.0,6,8,6,2.0,67.0,0.0,3,2.0
2,6.0,2.0,2.0,4.0,6,8,6,1.0,59.0,0.0,2,2.0
4,6.0,4.0,2.0,6.0,6,8,6,4.0,41.0,0.16666666666666666,3,6.0
1,4.0,3.0,2.0,1.0,6,8,6,0.0,83.0,0.0,3,1.0
1,6.0,2.0,2.0,1.0,6,8,6,1.0,82.0,0.0,3,1.0
2,6.0,4.0,2.0,3.0,6,8,6,2.0,63.0,0.0,3,2.0
1,6.0,1.0,2.0,4.0,6,8,6,2.0,61.0,0.0,2,0.3333333333333333
1,6.0,1.0,2.0,3.0,6,8,6,2.0,55.0,0.0,3,2.0
3,6.0,5.0,2.0,5.0,6,8,6,3.0,62.0,0.0,3,3.0
2,6.0,4.0,2.0,3.0,6,8,6,2.0,47.0,0.0,2,0.5
1,6.0,7.0,2.0,6.0,6,8,6,3.0,53.0,0.0,3,3.0
2,6.0,4.0,2.0,6.0,6,8,6,1.0,38.0,0.5,3,0.6666666666666666
1,6.0,2.0,2.0,6.0,6,8,6,1.0,39.0,0.6666666666666666,2,3.0
2,6.0,4.0,2.0,3.0,6,8,6,2.0,53.0,0.0,3,3.0
5,5.0,5.0,2.0,1.0,6,8,6,5.0,50.0,0.14285714285714285,3,7.0
1,6.0,1.0,2.0,4.0,6,8,6,1.0,69.0,0.0,3,0.14285714285714285
2,6.0,3.0,2.0,1.0,6,8,6,2.0,54.0,0.3333333333333333,3,3.0
2,5.0,3.0,2.0,1.0,6,8,6,2.0,47.0,0.0,3,2.0
2,5.0,3.0,2.0,3.0,6,8,6,2.0,59.0,0.0,3,2.0
1,5.0,3.0,2.0,3.0,6,8,6,1.0,41.0,0.5,2,2.0
2,6.0,2.0,2.0,6.0,6,8,6,1.0,36.0,0.0,3,2.0
2,6.0,2.0,2.0,3.0,6,8,6,1.0,85.0,0.0,3,2.0
5,6.0,3.0,2.0,4.0,6,8,6,4.0,63.0,0.0,1,5.0
2,6.0,4.0,2.0,4.0,6,8,6,2.0,72.0,0.0,3,2.0
4,4.0,5.0,2.0,6.0,6,8,6,4.0,48.0,0.0,3,4.0
3,4.0,5.0,2.0,6.0,6,8,6,2.0,56.0,0.25,2,4.0
1,6.0,3.0,2.0,3.0,6,8,6,1.0,77.0,0.0,3,1.0
3,5.0,4.0,2.0,4.0,6,8,6,4.0,43.0,0.0,2,4.0
1,6.0,2.0,2.0,1.0,6,8,6,1.0,87.0,0.0,3,1.0
4,4.0,2.0,2.0,3.0,6,8,6,4.0,47.0,0.0,3,4.0
1,6.0,1.0,2.0,1.0,6,8,6,1.0,50.0,0.0,3,2.0
2,6.0,2.0,2.0,4.0,6,8,6,3.0,69.0,0.0,2,3.0
1,6.0,1.0,2.0,2.0,6,8,6,1.0,73.0,0.0,2,1.0
2,6.0,1.0,2.0,1.0,6,8,6,2.0,56.0,0.5,2,4.0
2,4.0,2.0,2.0,3.0,6,8,6,2.0,80.0,0.0,2,2.0
2,6.0,1.0,2.0,6.0,6,8,6,2.0,37.0,0.25,3,4.0
2,5.0,1.0,2.0,1.0,6,8,6,2.0,71.0,0.0,3,3.0
